onset	duration	sample	trial_type	response_time	stim_file	value
957.3640000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
957.8580000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
959.9100000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
960.6640000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
961.0380000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
963.0920000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
963.6400000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
964.0940000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
966.1480000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
967.0200000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
967.4840000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
969.5380000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
970.0760000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
970.6000000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
972.6540000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
974.0920000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
974.5260000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
976.5800000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
977.1200000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
977.6240000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
979.6780000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
980.9400000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
981.3040000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
983.3580000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
984.2600000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
984.6840000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
986.7360000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
987.9880000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
988.4920000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
990.5440000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
991.0680000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
991.5220000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
993.5740000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
994.1560000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
994.6900000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
996.7420000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
997.5360000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
997.9800000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1000.0320000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
1001.0920000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
1001.4860000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1003.5380000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
1004.6240000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
